research_question,eda_answer_status,answer_from_this_dataset,not_answered_by_this_dataset
Main RQ: Under what conditions does scarcity operate as symbolic value rather than only access constraint?,Partially answered,"The strongest measurable condition is a scarce opening combined with later expansion, strong reception, long legs, and/or efficient ROI. This pattern fits platform prestige releases more than ordinary low-access films.","Audience interpretation, marketing language, festival legitimation, social distinction, and whether viewers saw scarcity as prestige rather than inconvenience."
Does scarcity in cinema function as a symbolic signal of artistic value and social distinction?,Partially answered,"Scarce/platform films can be identified and compared with IMDb ratings, expansion, legs, and ROI. Parasite's measured profile supports the plausibility of scarcity as a prestige signal.",The dataset cannot observe symbolic meaning directly; it only observes outcomes and release structure.
What forms of scarcity are most relevant in cinema?,Partially answered,"The measurable forms are initial theater scarcity, limited release strategy, platform expansion, opening-to-maximum theater restriction, and limited theatrical staying power.","Festival-only circulation, one-night screenings, sold-out screenings, members-only previews, delayed streaming, 70mm/IMAX scarcity, and invitation-only premieres."
"How is scarcity communicated by cinemas, festivals, distributors, and marketers?",Not answered,"The dataset has no marketing text, festival programming, trailer language, press strategy, ticketing pages, or distributor communication.",Requires qualitative content analysis and industry/case sources.
When do audiences interpret scarcity as prestige rather than inconvenience?,Partially answered,"A plausible indicator is scarce opening plus high IMDb rating, high votes, long legs, and expansion. Those conditions imply that restricted access did not prevent positive reception.","Actual interpretation requires audience reviews, social media discourse, surveys, interviews, or press reception."
"Does scarcity work differently for arthouse, festival, and mainstream films?",Partially answered,Proxy comparisons show that platform/prestige films and mainstream/event films have different release structures. Parasite is measured as platform scarcity; Oppenheimer is measured as wide release.,Festival status and premium-format scarcity are not directly measured.
Does scarcity in arthouse and festival cinema signal artistic legitimacy and distinction?,Partially answered,"For prestige proxies, scarce openings with expansion and strong IMDb ratings are consistent with artistic-legitimacy signaling.","Awards, festival selection, critic discourse, and cultural-capital interpretation are outside the file."
How do limited screenings and premium formats turn films into scarce cultural events?,Mostly not answered,The limited-release part can be studied through opening theaters and expansion. Oppenheimer's wide-release record shows the dataset does not capture premium-format scarcity.,"Requires IMAX/70mm venue counts, sold-out ticket data, showtime data, premium-format pricing, and press/social-media evidence."
Why does scarcity create prestige for some films but not for mainstream blockbusters?,Partially answered,"The data suggests different mechanisms: platform scarcity for prestige films versus event/premium scarcity for mainstream films. Scarce opening alone is insufficient; it needs quality signals, expansion, and audience validation.","The causal reason requires case interpretation and theory, especially Bourdieu, authenticity, FOMO, and distributor strategy."
What are the managerial implications for distributors and exhibitors?,Partially answered,"The EDA suggests controlled openings can be useful when the film has prestige markers, positive reception, and expansion potential; wide/event releases need different scarcity levers such as premium formats or exclusive windows.","Profit-sharing, marketing spend, ticket prices, exhibitor contracts, screen allocation, and operational constraints are not measured."
